arquivo,n_vertices,n_arestas,tempo_segundos
chain_n10.csv,10,9,0.000037
chain_n100.csv,100,99,0.000052
chain_n50.csv,50,49,0.000030
dense_n20_m200.csv,20,200,0.000050
dense_n40_m600.csv,40,600,0.000873
dense_n60_m1200.csv,60,1200,0.000213
grid_10x10.csv,100,360,0.000137
grid_400x400.csv,160000,319200,0.238641
grid_5x5.csv,25,80,0.002697
grid_8x8.csv,64,224,0.000059
medium_n100_m400.csv,100,400,0.000097
medium_n30_m120.csv,30,120,0.000040
medium_n60_m240.csv,60,240,0.000073
rio_bangu.csv,3089,7804,0.000951
rio_barra_da_tijuca.csv,1915,3224,0.002296
rio_botafogo.csv,427,664,0.000286
rio_campo_grande.csv,7246,18146,0.016270
rio_centro.csv,2487,5589,0.001981
rio_copacabana.csv,331,584,0.000221
rio_ipanema.csv,190,306,0.000115
rio_leblon.csv,221,373,0.000122
rio_madureira.csv,356,670,0.000120
rio_tijuca.csv,1915,3224,0.015146
sparse_n30_m60.csv,30,60,0.000041
sparse_n50_m100.csv,50,100,0.000037
sparse_n80_m160.csv,80,160,0.000049
